ParentEduc,IsFirstChild,NrSiblings,MathScore,ReadingScore,WritingScore,PracticeSport,ParentMaritalStatus,LunchType,TestPrep,TransportMeans,WklyStudyHours,EthnicGroup,Gender
associate's degree,yes,3.0,59,60,58,3.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0
high school,yes,2.0,59,74,79,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0
bachelor's degree,yes,2.0,52,56,58,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
associate's degree,no,2.0,72,75,75,1.0,2.0,0.0,1.0,2.0,2.0,4.0,1.0
some high school,yes,3.0,73,57,59,2.0,3.0,1.0,1.0,1.0,0.0,4.0,1.0
some college,no,2.0,40,58,57,3.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0
some college,no,2.0,73,83,79,2.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0
some college,yes,2.0,54,48,47,2.0,2.0,0.0,0.0,2.0,1.0,4.0,1.0
high school,yes,3.0,63,62,54,3.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0
VeriYok,no,2.0,67,88,82,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
associate's degree,yes,5.0,55,75,72,2.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0
VeriYok,no,3.0,58,51,44,1.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0
some college,yes,3.0,94,86,82,3.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0
some college,no,4.0,61,70,69,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
VeriYok,yes,2.0,75,64,68,2.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0
some high school,no,2.0,40,56,56,2.0,3.0,0.0,1.0,0.0,1.0,3.0,0.0
high school,no,4.0,88,81,78,2.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0
some college,yes,1.0,52,61,69,2.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0
some high school,yes,1.0,57,65,59,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0
bachelor's degree,yes,0.0,70,76,69,3.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0
bachelor's degree,yes,2.0,64,71,63,2.0,2.0,0.0,0.0,2.0,1.0,4.0,1.0
some high school,yes,1.0,56,55,49,3.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0
bachelor's degree,no,2.0,75,84,79,3.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0
some college,yes,5.0,71,72,71,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0
associate's degree,yes,0.0,87,89,84,2.0,3.0,0.0,0.0,1.0,1.0,5.0,0.0
high school,yes,2.0,91,72,82,3.0,3.0,1.0,2.0,2.0,2.0,5.0,1.0
associate's degree,no,3.0,76,88,76,3.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0
associate's degree,no,2.0,63,80,74,3.0,3.0,0.0,1.0,2.0,0.0,5.0,0.0
some high school,yes,1.0,75,65,70,3.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0
master's degree,yes,1.0,84,100,94,2.0,3.0,1.0,0.0,2.0,1.0,5.0,0.0
some college,yes,2.0,76,80,72,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0
high school,no,4.0,62,72,68,3.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0
some high school,yes,2.0,63,71,72,3.0,2.0,1.0,2.0,2.0,0.0,4.0,0.0
bachelor's degree,yes,0.0,100,93,88,3.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0
associate's degree,VeriYok,2.0,68,70,66,2.0,2.0,0.0,1.0,0.0,1.0,5.0,1.0
VeriYok,yes,2.0,55,63,69,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0
some high school,yes,2.0,82,70,72,3.0,2.0,1.0,0.0,2.0,1.0,5.0,1.0
master's degree,yes,0.0,100,91,90,3.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0
associate's degree,yes,2.0,29,39,35,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0
some college,no,1.0,78,65,75,2.0,0.0,1.0,2.0,0.0,2.0,3.0,1.0
associate's degree,no,3.0,40,53,52,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0
associate's degree,yes,0.0,72,78,79,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0
some high school,yes,4.0,56,51,49,0.0,2.0,1.0,0.0,2.0,1.0,4.0,1.0
some high school,no,1.0,38,46,39,2.0,2.0,0.0,0.0,2.0,1.0,3.0,1.0
high school,yes,1.0,79,66,71,2.0,2.0,1.0,0.0,0.0,2.0,4.0,1.0
master's degree,yes,3.0,66,57,64,3.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0
high school,no,1.0,69,61,60,3.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0
some high school,no,2.0,59,59,61,2.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0
VeriYok,yes,3.0,69,68,62,3.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0
associate's degree,yes,3.0,78,81,78,3.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0
high school,no,1.0,51,45,44,1.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0
some high school,yes,1.0,66,69,62,1.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0
some high school,yes,1.0,67,64,65,3.0,1.0,1.0,1.0,2.0,0.0,5.0,0.0
high school,yes,1.0,72,64,59,3.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0
some college,no,2.0,66,56,48,3.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0
some college,yes,3.0,51,68,67,2.0,3.0,1.0,0.0,2.0,1.0,3.0,0.0
master's degree,yes,3.0,78,89,94,2.0,2.0,0.0,2.0,2.0,3.0,4.0,0.0
associate's degree,yes,2.0,76,70,63,3.0,3.0,1.0,0.0,1.0,3.0,4.0,1.0
master's degree,yes,3.0,43,45,38,1.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0
high school,yes,3.0,48,62,62,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0
VeriYok,yes,5.0,55,67,67,3.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0
associate's degree,no,2.0,81,76,69,2.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0
some college,yes,2.0,64,78,76,2.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0
some college,no,1.0,59,56,58,3.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0
some high school,yes,1.0,44,54,53,1.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0
associate's degree,yes,1.0,90,93,85,3.0,3.0,1.0,0.0,2.0,0.0,3.0,1.0
master's degree,no,3.0,61,53,57,2.0,2.0,0.0,0.0,2.0,1.0,3.0,1.0
high school,yes,4.0,87,79,76,2.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0
some college,yes,0.0,37,37,38,2.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0
some college,yes,2.0,55,63,70,3.0,3.0,1.0,2.0,1.0,0.0,3.0,0.0
some college,yes,3.0,42,45,49,2.0,3.0,1.0,0.0,2.0,0.0,4.0,0.0
associate's degree,no,3.0,46,55,51,3.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0
bachelor's degree,yes,1.0,76,66,77,2.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0
some high school,no,3.0,59,57,50,2.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0
some high school,yes,4.0,90,86,92,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0
some college,yes,1.0,53,64,67,3.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0
bachelor's degree,yes,0.0,100,85,83,3.0,4.0,1.0,0.0,2.0,0.0,5.0,1.0
associate's degree,yes,4.0,59,67,71,1.0,2.0,1.0,1.0,2.0,0.0,4.0,0.0
some college,yes,3.0,79,69,75,2.0,2.0,0.0,2.0,2.0,0.0,5.0,1.0
associate's degree,yes,2.0,84,81,76,3.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0
associate's degree,no,2.0,90,86,87,3.0,1.0,1.0,0.0,2.0,0.0,4.0,1.0
master's degree,no,1.0,67,67,63,2.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0
master's degree,yes,3.0,94,99,97,3.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0
associate's degree,no,3.0,76,94,93,2.0,2.0,1.0,2.0,1.0,0.0,4.0,0.0
associate's degree,yes,3.0,71,77,74,3.0,2.0,1.0,0.0,1.0,1.0,4.0,0.0
bachelor's degree,yes,1.0,76,82,83,3.0,1.0,0.0,2.0,2.0,0.0,5.0,0.0
some high school,yes,2.0,75,66,67,2.0,2.0,1.0,0.0,2.0,1.0,4.0,1.0
associate's degree,yes,0.0,45,51,43,3.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
bachelor's degree,yes,3.0,54,63,72,2.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0
high school,no,2.0,77,59,61,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0
bachelor's degree,yes,0.0,100,100,100,2.0,2.0,1.0,2.0,2.0,0.0,3.0,1.0
associate's degree,yes,1.0,45,45,49,2.0,2.0,0.0,2.0,2.0,0.0,3.0,1.0
high school,yes,3.0,51,54,52,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0
high school,yes,1.0,69,74,75,2.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0
master's degree,no,2.0,71,74,71,3.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0
some high school,yes,0.0,57,55,63,1.0,2.0,1.0,0.0,2.0,1.0,4.0,0.0
high school,no,1.0,65,79,85,2.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0
high school,yes,2.0,72,69,64,3.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0
bachelor's degree,no,5.0,55,49,41,2.0,1.0,1.0,0.0,2.0,3.0,3.0,1.0
some college,no,3.0,73,69,73,3.0,2.0,1.0,0.0,2.0,0.0,4.0,1.0
bachelor's degree,yes,1.0,87,84,82,3.0,3.0,1.0,0.0,1.0,0.0,3.0,1.0
some college,yes,3.0,94,100,100,3.0,2.0,1.0,2.0,1.0,0.0,5.0,0.0
some college,yes,1.0,47,38,42,2.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0
some college,yes,2.0,71,60,59,2.0,2.0,1.0,0.0,2.0,3.0,3.0,1.0
associate's degree,yes,2.0,45,45,44,2.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0
high school,yes,3.0,78,77,71,3.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0
some high school,no,1.0,81,79,72,1.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0
some college,yes,7.0,51,63,56,3.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0
master's degree,no,1.0,70,93,88,1.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0
high school,yes,1.0,45,47,38,2.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0
some high school,yes,1.0,46,39,34,3.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0
high school,no,1.0,53,59,61,2.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0
VeriYok,no,2.0,71,62,72,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0
some high school,VeriYok,4.0,56,55,55,3.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0
some college,yes,2.0,74,76,71,2.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0
bachelor's degree,no,1.0,63,62,65,2.0,1.0,1.0,0.0,2.0,0.0,5.0,0.0
high school,yes,2.0,65,51,52,3.0,2.0,0.0,2.0,1.0,0.0,5.0,1.0
some high school,no,1.0,62,70,75,3.0,2.0,0.0,2.0,2.0,1.0,4.0,0.0
associate's degree,no,3.0,71,70,69,1.0,3.0,0.0,0.0,2.0,1.0,4.0,0.0
associate's degree,yes,1.0,71,77,68,3.0,2.0,1.0,1.0,2.0,0.0,4.0,1.0
some college,yes,4.0,56,58,59,1.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0
associate's degree,yes,2.0,83,89,95,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
some high school,no,5.0,66,77,76,3.0,2.0,1.0,2.0,2.0,1.0,3.0,0.0
associate's degree,yes,3.0,80,84,82,2.0,2.0,1.0,0.0,1.0,0.0,5.0,0.0
associate's degree,yes,1.0,65,69,61,2.0,3.0,1.0,0.0,1.0,1.0,3.0,0.0
high school,no,1.0,41,62,58,2.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0
high school,yes,6.0,70,71,79,3.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0
high school,yes,5.0,70,62,65,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0
bachelor's degree,yes,1.0,80,82,79,2.0,2.0,0.0,1.0,1.0,0.0,4.0,1.0
some college,no,1.0,66,79,76,3.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0
associate's degree,yes,2.0,72,70,59,3.0,2.0,1.0,0.0,1.0,3.0,4.0,1.0
VeriYok,no,1.0,91,98,98,3.0,3.0,0.0,2.0,1.0,1.0,5.0,0.0
associate's degree,yes,2.0,58,43,51,3.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0
some high school,yes,2.0,84,92,91,3.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0
master's degree,no,2.0,69,56,55,2.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0
some college,yes,4.0,70,75,71,3.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0
associate's degree,yes,1.0,59,68,65,3.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0
some college,no,1.0,69,79,80,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0
bachelor's degree,no,1.0,94,79,86,3.0,3.0,1.0,1.0,1.0,0.0,5.0,1.0
high school,yes,1.0,88,73,75,2.0,2.0,1.0,2.0,2.0,0.0,4.0,1.0
VeriYok,yes,2.0,68,73,71,3.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0
master's degree,yes,3.0,62,78,77,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0
VeriYok,yes,3.0,81,85,78,2.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0
high school,yes,2.0,72,88,72,1.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0
some college,no,5.0,53,50,53,3.0,2.0,0.0,1.0,2.0,1.0,4.0,1.0
bachelor's degree,no,3.0,65,61,64,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0
associate's degree,no,2.0,75,66,71,3.0,2.0,1.0,2.0,2.0,0.0,3.0,1.0
some college,yes,2.0,71,80,90,2.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0
high school,no,1.0,66,75,76,3.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0
associate's degree,yes,2.0,63,66,57,3.0,3.0,1.0,0.0,2.0,1.0,3.0,1.0
high school,yes,1.0,60,55,51,3.0,3.0,0.0,2.0,2.0,1.0,2.0,1.0
master's degree,VeriYok,1.0,55,50,53,2.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0
some college,no,2.0,72,82,82,3.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0
high school,yes,0.0,45,61,53,3.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0
some high school,no,1.0,77,73,66,2.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0
some high school,no,2.0,67,73,71,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0
master's degree,yes,0.0,90,86,98,2.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0
master's degree,yes,2.0,91,76,85,2.0,2.0,1.0,0.0,2.0,0.0,4.0,1.0
some college,yes,3.0,68,78,76,2.0,2.0,1.0,0.0,1.0,1.0,5.0,0.0
master's degree,yes,2.0,99,92,96,2.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0
associate's degree,no,2.0,84,98,92,3.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0
associate's degree,no,2.0,53,45,45,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0
some college,yes,4.0,80,71,65,3.0,3.0,1.0,0.0,2.0,0.0,5.0,1.0
high school,no,1.0,53,45,55,3.0,2.0,1.0,2.0,2.0,0.0,4.0,1.0
associate's degree,yes,1.0,53,38,38,2.0,2.0,1.0,0.0,2.0,0.0,4.0,1.0
high school,no,1.0,49,62,60,2.0,3.0,0.0,0.0,2.0,1.0,3.0,0.0
high school,yes,1.0,76,77,67,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
some high school,yes,3.0,60,69,69,2.0,3.0,1.0,0.0,1.0,2.0,4.0,0.0
master's degree,yes,0.0,80,85,85,2.0,2.0,0.0,0.0,1.0,2.0,4.0,0.0
associate's degree,yes,3.0,63,53,51,2.0,2.0,1.0,0.0,1.0,2.0,4.0,1.0
high school,yes,1.0,61,71,66,2.0,2.0,0.0,0.0,2.0,3.0,4.0,0.0
master's degree,yes,6.0,77,79,85,1.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0
high school,yes,3.0,70,57,61,0.0,3.0,1.0,0.0,2.0,2.0,4.0,1.0
some high school,yes,2.0,25,27,16,2.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0
bachelor's degree,no,3.0,87,87,92,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0
some college,no,1.0,67,87,87,3.0,3.0,1.0,0.0,2.0,1.0,3.0,0.0
associate's degree,no,4.0,43,44,40,2.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0
associate's degree,yes,3.0,85,81,79,3.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0
high school,no,3.0,72,67,61,3.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0
high school,yes,2.0,66,66,71,2.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0
associate's degree,yes,1.0,44,65,56,3.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0
some college,no,4.0,82,87,81,1.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0
bachelor's degree,no,4.0,79,75,75,3.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0
bachelor's degree,yes,1.0,63,47,53,3.0,3.0,1.0,0.0,0.0,0.0,4.0,1.0
some college,yes,3.0,47,56,59,3.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0
some high school,yes,0.0,49,58,59,3.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0
some college,no,2.0,49,29,36,3.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0
some college,yes,4.0,59,60,58,2.0,1.0,1.0,1.0,2.0,0.0,5.0,0.0
some high school,yes,1.0,83,75,78,2.0,2.0,1.0,2.0,2.0,0.0,3.0,1.0
VeriYok,yes,3.0,66,61,67,1.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0
some college,yes,1.0,70,75,72,2.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0
bachelor's degree,yes,1.0,74,81,78,2.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0
bachelor's degree,yes,3.0,62,77,75,2.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0
some college,no,1.0,74,84,84,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0
high school,yes,1.0,72,82,86,2.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0
some college,yes,5.0,56,72,68,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0
some high school,yes,0.0,77,64,68,1.0,2.0,0.0,0.0,2.0,2.0,5.0,1.0
master's degree,yes,2.0,44,59,59,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0
associate's degree,no,2.0,53,53,47,2.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0
VeriYok,no,3.0,83,77,71,3.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0
high school,yes,2.0,75,72,77,1.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0
associate's degree,no,3.0,81,70,72,3.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0
associate's degree,yes,1.0,77,80,76,1.0,3.0,0.0,0.0,2.0,0.0,5.0,1.0
associate's degree,yes,3.0,53,61,66,3.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0
some college,yes,2.0,47,55,54,2.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0
some high school,yes,1.0,73,72,73,3.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
VeriYok,yes,0.0,58,48,55,2.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0
high school,yes,0.0,34,54,46,2.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0
bachelor's degree,no,2.0,83,76,85,3.0,3.0,0.0,2.0,1.0,0.0,4.0,1.0
some high school,no,2.0,32,30,24,3.0,3.0,0.0,0.0,2.0,1.0,4.0,1.0
some high school,yes,2.0,81,74,65,3.0,2.0,1.0,0.0,2.0,0.0,5.0,1.0
VeriYok,no,2.0,60,79,71,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0
some college,no,1.0,71,86,78,3.0,1.0,0.0,2.0,1.0,0.0,5.0,0.0
bachelor's degree,yes,2.0,56,70,66,3.0,3.0,0.0,1.0,2.0,0.0,4.0,0.0
master's degree,yes,2.0,80,87,86,2.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0
associate's degree,no,2.0,71,79,80,3.0,3.0,0.0,1.0,2.0,0.0,5.0,0.0
some high school,yes,3.0,67,77,70,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0
VeriYok,no,2.0,72,74,78,2.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0
associate's degree,no,3.0,46,62,63,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0
some high school,yes,1.0,47,57,60,3.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0
high school,no,2.0,83,79,69,2.0,2.0,0.0,0.0,2.0,0.0,5.0,1.0
some college,yes,1.0,67,83,84,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0
associate's degree,no,2.0,56,49,44,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0
high school,yes,2.0,82,78,70,3.0,3.0,1.0,0.0,1.0,0.0,4.0,1.0
high school,yes,0.0,57,67,60,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0
high school,no,7.0,81,71,73,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0
associate's degree,no,4.0,72,65,64,2.0,2.0,0.0,2.0,2.0,0.0,5.0,1.0
high school,yes,6.0,63,55,53,3.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0
associate's degree,yes,0.0,71,67,67,3.0,3.0,0.0,2.0,0.0,0.0,4.0,1.0
some college,no,3.0,87,99,100,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0
some high school,yes,0.0,76,89,90,1.0,3.0,1.0,2.0,2.0,0.0,3.0,0.0
master's degree,yes,2.0,77,84,85,1.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0
associate's degree,yes,2.0,54,47,47,3.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0
high school,yes,3.0,61,48,49,2.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0
some college,yes,4.0,63,53,43,1.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0
bachelor's degree,yes,1.0,71,74,74,1.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0
VeriYok,no,2.0,79,83,78,3.0,2.0,1.0,1.0,1.0,0.0,5.0,1.0
high school,yes,2.0,80,87,81,1.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0
associate's degree,yes,2.0,85,96,100,3.0,2.0,1.0,2.0,2.0,2.0,4.0,0.0
associate's degree,no,4.0,53,48,52,2.0,3.0,0.0,0.0,1.0,2.0,4.0,1.0
associate's degree,yes,2.0,45,33,30,3.0,2.0,1.0,0.0,2.0,1.0,5.0,1.0
associate's degree,yes,3.0,88,75,80,2.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0
master's degree,yes,0.0,68,76,79,3.0,3.0,1.0,2.0,1.0,3.0,4.0,0.0
associate's degree,yes,2.0,75,87,84,2.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0
master's degree,no,1.0,82,83,90,2.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0
VeriYok,yes,2.0,64,72,65,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0
some high school,yes,1.0,61,57,48,3.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0
master's degree,no,3.0,88,92,94,3.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0
high school,no,1.0,86,81,80,3.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0
master's degree,no,4.0,71,78,78,3.0,2.0,1.0,2.0,0.0,2.0,3.0,1.0
high school,yes,0.0,86,84,91,2.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0
master's degree,no,5.0,80,88,88,3.0,2.0,1.0,0.0,2.0,1.0,4.0,0.0
some high school,no,3.0,96,81,75,2.0,2.0,1.0,0.0,1.0,2.0,5.0,1.0
some college,yes,2.0,85,72,74,1.0,1.0,1.0,0.0,2.0,1.0,5.0,1.0
master's degree,yes,0.0,95,100,100,3.0,2.0,1.0,0.0,2.0,2.0,4.0,0.0
some high school,no,6.0,60,65,62,3.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0
high school,yes,0.0,53,64,67,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0
some high school,yes,3.0,77,91,96,3.0,2.0,1.0,2.0,2.0,0.0,3.0,0.0
VeriYok,yes,0.0,62,72,75,2.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0
some high school,yes,2.0,71,64,68,2.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0
some college,yes,3.0,72,91,91,3.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0
high school,yes,2.0,80,73,85,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
bachelor's degree,yes,1.0,46,58,60,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
some high school,yes,2.0,45,55,56,3.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0
some college,VeriYok,2.0,71,87,85,3.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0
some high school,yes,2.0,75,68,62,2.0,2.0,1.0,0.0,2.0,0.0,5.0,1.0
master's degree,yes,3.0,59,71,78,3.0,2.0,0.0,0.0,2.0,1.0,4.0,0.0
master's degree,no,2.0,74,65,64,3.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0
high school,yes,5.0,85,73,70,3.0,2.0,1.0,0.0,2.0,0.0,5.0,1.0
VeriYok,yes,4.0,78,82,76,2.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0
associate's degree,yes,0.0,74,70,73,3.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0
VeriYok,yes,2.0,42,51,48,3.0,2.0,0.0,2.0,2.0,2.0,3.0,1.0
associate's degree,yes,1.0,72,67,66,2.0,2.0,1.0,0.0,1.0,2.0,4.0,1.0
some college,yes,5.0,77,92,95,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0
associate's degree,no,1.0,69,64,69,2.0,2.0,1.0,0.0,1.0,0.0,4.0,1.0
high school,no,5.0,65,52,52,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0
high school,yes,1.0,43,47,43,3.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0
high school,no,3.0,35,46,43,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
associate's degree,yes,5.0,67,75,69,3.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0
some high school,yes,1.0,58,68,71,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0
bachelor's degree,yes,2.0,99,85,97,2.0,3.0,1.0,2.0,0.0,1.0,4.0,1.0
